Phone Model,Operating System,Features,Brand,Warranty Period,Network Connections,Storage Capacity,Color Family,Memory RAM,Camera,Phone Screen Size
1148.json,1,-1,2,-1,-1,16,20,1,1,2
1157.json,3,-1,41,-1,-1,-1,8,-1,-1,2
1157.json,3,-1,41,-1,-1,-1,10,-1,-1,2
1159.json,-1,-1,52,-1,-1,-1,-1,-1,-1,-1
116.json,-1,-1,-1,-1,-1,-1,9,-1,-1,-1
116.json,-1,-1,-1,-1,-1,-1,12,-1,-1,-1
1162.json,6,-1,21,-1,-1,5,24,4,1,4
1162.json,6,-1,21,-1,-1,5,24,4,13,4
1162.json,6,-1,21,-1,-1,5,9,4,1,4
1162.json,6,-1,21,-1,-1,5,9,4,13,4
1162.json,6,-1,21,-1,-1,5,12,4,1,4
1162.json,6,-1,21,-1,-1,5,12,4,13,4
1162.json,6,-1,21,-1,-1,6,24,4,1,4
1162.json,6,-1,21,-1,-1,6,24,4,13,4
1162.json,6,-1,21,-1,-1,6,9,4,1,4
1162.json,6,-1,21,-1,-1,6,9,4,13,4
1162.json,6,-1,21,-1,-1,6,12,4,1,4
1162.json,6,-1,21,-1,-1,6,12,4,13,4
1162.json,6,-1,21,-1,-1,7,24,4,1,4
1162.json,6,-1,21,-1,-1,7,24,4,13,4
1162.json,6,-1,21,-1,-1,7,9,4,1,4
1162.json,6,-1,21,-1,-1,7,9,4,13,4
1162.json,6,-1,21,-1,-1,7,12,4,1,4
1162.json,6,-1,21,-1,-1,7,12,4,13,4
1162.json,6,-1,21,-1,-1,8,24,4,1,4
1162.json,6,-1,21,-1,-1,8,24,4,13,4
1162.json,6,-1,21,-1,-1,8,9,4,1,4
1162.json,6,-1,21,-1,-1,8,9,4,13,4
1162.json,6,-1,21,-1,-1,8,12,4,1,4
1162.json,6,-1,21,-1,-1,8,12,4,13,4
1162.json,6,-1,21,-1,-1,9,24,4,1,4
1162.json,6,-1,21,-1,-1,9,24,4,13,4
1162.json,6,-1,21,-1,-1,9,9,4,1,4
1162.json,6,-1,21,-1,-1,9,9,4,13,4
1162.json,6,-1,21,-1,-1,9,12,4,1,4
1162.json,6,-1,21,-1,-1,9,12,4,13,4
1162.json,6,-1,21,-1,-1,15,24,4,1,4
1162.json,6,-1,21,-1,-1,15,24,4,13,4
1162.json,6,-1,21,-1,-1,15,9,4,1,4
1162.json,6,-1,21,-1,-1,15,9,4,13,4
1162.json,6,-1,21,-1,-1,15,12,4,1,4
1162.json,6,-1,21,-1,-1,15,12,4,13,4
1163.json,6,-1,21,-1,-1,17,0,7,1,2
1163.json,6,-1,21,-1,-1,17,3,7,1,2
1163.json,6,-1,21,-1,-1,17,4,7,1,2
1163.json,6,-1,21,-1,-1,17,5,7,1,2
1163.json,6,-1,21,-1,-1,17,8,7,1,2
1163.json,6,-1,21,-1,-1,17,10,7,1,2
1163.json,6,-1,21,-1,-1,17,13,7,1,2
1163.json,6,-1,21,-1,-1,17,15,7,1,2
1163.json,6,-1,21,-1,-1,17,17,7,1,2
1163.json,6,-1,21,-1,-1,12,0,7,1,2
1163.json,6,-1,21,-1,-1,12,3,7,1,2
1163.json,6,-1,21,-1,-1,12,4,7,1,2
1163.json,6,-1,21,-1,-1,12,5,7,1,2
1163.json,6,-1,21,-1,-1,12,8,7,1,2
1163.json,6,-1,21,-1,-1,12,10,7,1,2
1163.json,6,-1,21,-1,-1,12,13,7,1,2
1163.json,6,-1,21,-1,-1,12,15,7,1,2
1163.json,6,-1,21,-1,-1,12,17,7,1,2
1164.json,6,-1,21,-1,1,5,0,6,1,2
1164.json,6,-1,21,-1,1,5,0,6,9,2
1164.json,6,-1,21,-1,1,5,3,6,1,2
1164.json,6,-1,21,-1,1,5,3,6,9,2
1164.json,6,-1,21,-1,1,5,4,6,1,2
1164.json,6,-1,21,-1,1,5,4,6,9,2
1164.json,6,-1,21,-1,1,5,5,6,1,2
1164.json,6,-1,21,-1,1,5,5,6,9,2
1164.json,6,-1,21,-1,1,5,8,6,1,2
1164.json,6,-1,21,-1,1,5,8,6,9,2
1164.json,6,-1,21,-1,1,5,9,6,1,2
1164.json,6,-1,21,-1,1,5,9,6,9,2
1164.json,6,-1,21,-1,1,5,10,6,1,2
1164.json,6,-1,21,-1,1,5,10,6,9,2
1164.json,6,-1,21,-1,1,5,12,6,1,2
1164.json,6,-1,21,-1,1,5,12,6,9,2
1164.json,6,-1,21,-1,1,5,15,6,1,2
1164.json,6,-1,21,-1,1,5,15,6,9,2
1164.json,6,-1,21,-1,1,5,17,6,1,2
1164.json,6,-1,21,-1,1,5,17,6,9,2
1164.json,6,-1,21,-1,1,6,0,6,1,2
1164.json,6,-1,21,-1,1,6,0,6,9,2
1164.json,6,-1,21,-1,1,6,3,6,1,2
1164.json,6,-1,21,-1,1,6,3,6,9,2
1164.json,6,-1,21,-1,1,6,4,6,1,2
1164.json,6,-1,21,-1,1,6,4,6,9,2
1164.json,6,-1,21,-1,1,6,5,6,1,2
1164.json,6,-1,21,-1,1,6,5,6,9,2
1164.json,6,-1,21,-1,1,6,8,6,1,2
1164.json,6,-1,21,-1,1,6,8,6,9,2
1164.json,6,-1,21,-1,1,6,9,6,1,2
1164.json,6,-1,21,-1,1,6,9,6,9,2
1164.json,6,-1,21,-1,1,6,10,6,1,2
1164.json,6,-1,21,-1,1,6,10,6,9,2
1164.json,6,-1,21,-1,1,6,12,6,1,2
1164.json,6,-1,21,-1,1,6,12,6,9,2
1164.json,6,-1,21,-1,1,6,15,6,1,2
1164.json,6,-1,21,-1,1,6,15,6,9,2
1164.json,6,-1,21,-1,1,6,17,6,1,2
1164.json,6,-1,21,-1,1,6,17,6,9,2
1164.json,6,-1,21,-1,1,7,0,6,1,2
1164.json,6,-1,21,-1,1,7,0,6,9,2
1164.json,6,-1,21,-1,1,7,3,6,1,2
1164.json,6,-1,21,-1,1,7,3,6,9,2
1164.json,6,-1,21,-1,1,7,4,6,1,2
1164.json,6,-1,21,-1,1,7,4,6,9,2
1164.json,6,-1,21,-1,1,7,5,6,1,2
1164.json,6,-1,21,-1,1,7,5,6,9,2
1164.json,6,-1,21,-1,1,7,8,6,1,2
1164.json,6,-1,21,-1,1,7,8,6,9,2
1164.json,6,-1,21,-1,1,7,9,6,1,2
1164.json,6,-1,21,-1,1,7,9,6,9,2
1164.json,6,-1,21,-1,1,7,10,6,1,2
1164.json,6,-1,21,-1,1,7,10,6,9,2
1164.json,6,-1,21,-1,1,7,12,6,1,2
1164.json,6,-1,21,-1,1,7,12,6,9,2
1164.json,6,-1,21,-1,1,7,15,6,1,2
1164.json,6,-1,21,-1,1,7,15,6,9,2
1164.json,6,-1,21,-1,1,7,17,6,1,2
1164.json,6,-1,21,-1,1,7,17,6,9,2
1164.json,6,-1,21,-1,1,8,0,6,1,2
1164.json,6,-1,21,-1,1,8,0,6,9,2
1164.json,6,-1,21,-1,1,8,3,6,1,2
1164.json,6,-1,21,-1,1,8,3,6,9,2
1164.json,6,-1,21,-1,1,8,4,6,1,2
1164.json,6,-1,21,-1,1,8,4,6,9,2
1164.json,6,-1,21,-1,1,8,5,6,1,2
1164.json,6,-1,21,-1,1,8,5,6,9,2
1164.json,6,-1,21,-1,1,8,8,6,1,2
1164.json,6,-1,21,-1,1,8,8,6,9,2
1164.json,6,-1,21,-1,1,8,9,6,1,2
1164.json,6,-1,21,-1,1,8,9,6,9,2
1164.json,6,-1,21,-1,1,8,10,6,1,2
1164.json,6,-1,21,-1,1,8,10,6,9,2
1164.json,6,-1,21,-1,1,8,12,6,1,2
1164.json,6,-1,21,-1,1,8,12,6,9,2
1164.json,6,-1,21,-1,1,8,15,6,1,2
1164.json,6,-1,21,-1,1,8,15,6,9,2
1164.json,6,-1,21,-1,1,8,17,6,1,2
1164.json,6,-1,21,-1,1,8,17,6,9,2
1164.json,6,-1,21,-1,1,9,0,6,1,2
1164.json,6,-1,21,-1,1,9,0,6,9,2
1164.json,6,-1,21,-1,1,9,3,6,1,2
1164.json,6,-1,21,-1,1,9,3,6,9,2
1164.json,6,-1,21,-1,1,9,4,6,1,2
1164.json,6,-1,21,-1,1,9,4,6,9,2
1164.json,6,-1,21,-1,1,9,5,6,1,2
1164.json,6,-1,21,-1,1,9,5,6,9,2
1164.json,6,-1,21,-1,1,9,8,6,1,2
1164.json,6,-1,21,-1,1,9,8,6,9,2
1164.json,6,-1,21,-1,1,9,9,6,1,2
1164.json,6,-1,21,-1,1,9,9,6,9,2
1164.json,6,-1,21,-1,1,9,10,6,1,2
1164.json,6,-1,21,-1,1,9,10,6,9,2
1164.json,6,-1,21,-1,1,9,12,6,1,2
1164.json,6,-1,21,-1,1,9,12,6,9,2
1164.json,6,-1,21,-1,1,9,15,6,1,2
1164.json,6,-1,21,-1,1,9,15,6,9,2
1164.json,6,-1,21,-1,1,9,17,6,1,2
1164.json,6,-1,21,-1,1,9,17,6,9,2
1164.json,6,-1,21,-1,1,12,0,6,1,2
1164.json,6,-1,21,-1,1,12,0,6,9,2
1164.json,6,-1,21,-1,1,12,3,6,1,2
1164.json,6,-1,21,-1,1,12,3,6,9,2
1164.json,6,-1,21,-1,1,12,4,6,1,2
1164.json,6,-1,21,-1,1,12,4,6,9,2
1164.json,6,-1,21,-1,1,12,5,6,1,2
1164.json,6,-1,21,-1,1,12,5,6,9,2
1164.json,6,-1,21,-1,1,12,8,6,1,2
1164.json,6,-1,21,-1,1,12,8,6,9,2
1164.json,6,-1,21,-1,1,12,9,6,1,2
1164.json,6,-1,21,-1,1,12,9,6,9,2
1164.json,6,-1,21,-1,1,12,10,6,1,2
1164.json,6,-1,21,-1,1,12,10,6,9,2
1164.json,6,-1,21,-1,1,12,12,6,1,2
1164.json,6,-1,21,-1,1,12,12,6,9,2
1164.json,6,-1,21,-1,1,12,15,6,1,2
1164.json,6,-1,21,-1,1,12,15,6,9,2
1164.json,6,-1,21,-1,1,12,17,6,1,2
1164.json,6,-1,21,-1,1,12,17,6,9,2
1164.json,6,-1,21,-1,1,15,0,6,1,2
1164.json,6,-1,21,-1,1,15,0,6,9,2
1164.json,6,-1,21,-1,1,15,3,6,1,2
1164.json,6,-1,21,-1,1,15,3,6,9,2
1164.json,6,-1,21,-1,1,15,4,6,1,2
1164.json,6,-1,21,-1,1,15,4,6,9,2
1164.json,6,-1,21,-1,1,15,5,6,1,2
1164.json,6,-1,21,-1,1,15,5,6,9,2
1164.json,6,-1,21,-1,1,15,8,6,1,2
1164.json,6,-1,21,-1,1,15,8,6,9,2
1164.json,6,-1,21,-1,1,15,9,6,1,2
1164.json,6,-1,21,-1,1,15,9,6,9,2
1164.json,6,-1,21,-1,1,15,10,6,1,2
1164.json,6,-1,21,-1,1,15,10,6,9,2
1164.json,6,-1,21,-1,1,15,12,6,1,2
1164.json,6,-1,21,-1,1,15,12,6,9,2
1164.json,6,-1,21,-1,1,15,15,6,1,2
1164.json,6,-1,21,-1,1,15,15,6,9,2
1164.json,6,-1,21,-1,1,15,17,6,1,2
1164.json,6,-1,21,-1,1,15,17,6,9,2
1164.json,6,-1,21,-1,1,17,0,6,1,2
1164.json,6,-1,21,-1,1,17,0,6,9,2
1164.json,6,-1,21,-1,1,17,3,6,1,2
1164.json,6,-1,21,-1,1,17,3,6,9,2
1164.json,6,-1,21,-1,1,17,4,6,1,2
1164.json,6,-1,21,-1,1,17,4,6,9,2
1164.json,6,-1,21,-1,1,17,5,6,1,2
1164.json,6,-1,21,-1,1,17,5,6,9,2
1164.json,6,-1,21,-1,1,17,8,6,1,2
1164.json,6,-1,21,-1,1,17,8,6,9,2
1164.json,6,-1,21,-1,1,17,9,6,1,2
1164.json,6,-1,21,-1,1,17,9,6,9,2
1164.json,6,-1,21,-1,1,17,10,6,1,2
1164.json,6,-1,21,-1,1,17,10,6,9,2
1164.json,6,-1,21,-1,1,17,12,6,1,2
1164.json,6,-1,21,-1,1,17,12,6,9,2
1164.json,6,-1,21,-1,1,17,15,6,1,2
1164.json,6,-1,21,-1,1,17,15,6,9,2
1164.json,6,-1,21,-1,1,17,17,6,1,2
1164.json,6,-1,21,-1,1,17,17,6,9,2
1165.json,6,-1,21,-1,0,5,0,6,1,2
1165.json,6,-1,21,-1,0,5,0,6,2,2
1165.json,6,-1,21,-1,0,5,0,6,3,2
1165.json,6,-1,21,-1,0,5,0,6,4,2
1165.json,6,-1,21,-1,0,5,0,6,5,2
1165.json,6,-1,21,-1,0,5,0,6,6,2
1165.json,6,-1,21,-1,0,5,0,6,10,2
1165.json,6,-1,21,-1,0,5,0,6,12,2
1165.json,6,-1,21,-1,0,5,0,6,14,2
1165.json,6,-1,21,-1,0,5,3,6,1,2
1165.json,6,-1,21,-1,0,5,3,6,2,2
1165.json,6,-1,21,-1,0,5,3,6,3,2
1165.json,6,-1,21,-1,0,5,3,6,4,2
1165.json,6,-1,21,-1,0,5,3,6,5,2
1165.json,6,-1,21,-1,0,5,3,6,6,2
1165.json,6,-1,21,-1,0,5,3,6,10,2
1165.json,6,-1,21,-1,0,5,3,6,12,2
1165.json,6,-1,21,-1,0,5,3,6,14,2
1165.json,6,-1,21,-1,0,5,4,6,1,2
1165.json,6,-1,21,-1,0,5,4,6,2,2
1165.json,6,-1,21,-1,0,5,4,6,3,2
1165.json,6,-1,21,-1,0,5,4,6,4,2
1165.json,6,-1,21,-1,0,5,4,6,5,2
1165.json,6,-1,21,-1,0,5,4,6,6,2
1165.json,6,-1,21,-1,0,5,4,6,10,2
1165.json,6,-1,21,-1,0,5,4,6,12,2
1165.json,6,-1,21,-1,0,5,4,6,14,2
1165.json,6,-1,21,-1,0,5,5,6,1,2
1165.json,6,-1,21,-1,0,5,5,6,2,2
1165.json,6,-1,21,-1,0,5,5,6,3,2
1165.json,6,-1,21,-1,0,5,5,6,4,2
1165.json,6,-1,21,-1,0,5,5,6,5,2
1165.json,6,-1,21,-1,0,5,5,6,6,2
1165.json,6,-1,21,-1,0,5,5,6,10,2
1165.json,6,-1,21,-1,0,5,5,6,12,2
1165.json,6,-1,21,-1,0,5,5,6,14,2
1165.json,6,-1,21,-1,0,5,8,6,1,2
1165.json,6,-1,21,-1,0,5,8,6,2,2
1165.json,6,-1,21,-1,0,5,8,6,3,2
1165.json,6,-1,21,-1,0,5,8,6,4,2
1165.json,6,-1,21,-1,0,5,8,6,5,2
1165.json,6,-1,21,-1,0,5,8,6,6,2
1165.json,6,-1,21,-1,0,5,8,6,10,2
1165.json,6,-1,21,-1,0,5,8,6,12,2
1165.json,6,-1,21,-1,0,5,8,6,14,2
1165.json,6,-1,21,-1,0,5,9,6,1,2
1165.json,6,-1,21,-1,0,5,9,6,2,2
1165.json,6,-1,21,-1,0,5,9,6,3,2
1165.json,6,-1,21,-1,0,5,9,6,4,2
1165.json,6,-1,21,-1,0,5,9,6,5,2
1165.json,6,-1,21,-1,0,5,9,6,6,2
1165.json,6,-1,21,-1,0,5,9,6,10,2
1165.json,6,-1,21,-1,0,5,9,6,12,2
1165.json,6,-1,21,-1,0,5,9,6,14,2
1165.json,6,-1,21,-1,0,5,10,6,1,2
1165.json,6,-1,21,-1,0,5,10,6,2,2
1165.json,6,-1,21,-1,0,5,10,6,3,2
1165.json,6,-1,21,-1,0,5,10,6,4,2
1165.json,6,-1,21,-1,0,5,10,6,5,2
1165.json,6,-1,21,-1,0,5,10,6,6,2
1165.json,6,-1,21,-1,0,5,10,6,10,2
1165.json,6,-1,21,-1,0,5,10,6,12,2
1165.json,6,-1,21,-1,0,5,10,6,14,2
1165.json,6,-1,21,-1,0,5,12,6,1,2
1165.json,6,-1,21,-1,0,5,12,6,2,2
1165.json,6,-1,21,-1,0,5,12,6,3,2
1165.json,6,-1,21,-1,0,5,12,6,4,2
1165.json,6,-1,21,-1,0,5,12,6,5,2
1165.json,6,-1,21,-1,0,5,12,6,6,2
1165.json,6,-1,21,-1,0,5,12,6,10,2
1165.json,6,-1,21,-1,0,5,12,6,12,2
1165.json,6,-1,21,-1,0,5,12,6,14,2
1165.json,6,-1,21,-1,0,5,15,6,1,2
1165.json,6,-1,21,-1,0,5,15,6,2,2
1165.json,6,-1,21,-1,0,5,15,6,3,2
1165.json,6,-1,21,-1,0,5,15,6,4,2
1165.json,6,-1,21,-1,0,5,15,6,5,2
1165.json,6,-1,21,-1,0,5,15,6,6,2
1165.json,6,-1,21,-1,0,5,15,6,10,2
1165.json,6,-1,21,-1,0,5,15,6,12,2
1165.json,6,-1,21,-1,0,5,15,6,14,2
1165.json,6,-1,21,-1,0,5,17,6,1,2
1165.json,6,-1,21,-1,0,5,17,6,2,2
1165.json,6,-1,21,-1,0,5,17,6,3,2
1165.json,6,-1,21,-1,0,5,17,6,4,2
1165.json,6,-1,21,-1,0,5,17,6,5,2
1165.json,6,-1,21,-1,0,5,17,6,6,2
1165.json,6,-1,21,-1,0,5,17,6,10,2
1165.json,6,-1,21,-1,0,5,17,6,12,2
1165.json,6,-1,21,-1,0,5,17,6,14,2
1165.json,6,-1,21,-1,0,5,18,6,1,2
1165.json,6,-1,21,-1,0,5,18,6,2,2
1165.json,6,-1,21,-1,0,5,18,6,3,2
1165.json,6,-1,21,-1,0,5,18,6,4,2
1165.json,6,-1,21,-1,0,5,18,6,5,2
1165.json,6,-1,21,-1,0,5,18,6,6,2
1165.json,6,-1,21,-1,0,5,18,6,10,2
1165.json,6,-1,21,-1,0,5,18,6,12,2
1165.json,6,-1,21,-1,0,5,18,6,14,2
1165.json,6,-1,21,-1,0,5,19,6,1,2
1165.json,6,-1,21,-1,0,5,19,6,2,2
1165.json,6,-1,21,-1,0,5,19,6,3,2
1165.json,6,-1,21,-1,0,5,19,6,4,2
1165.json,6,-1,21,-1,0,5,19,6,5,2
1165.json,6,-1,21,-1,0,5,19,6,6,2
1165.json,6,-1,21,-1,0,5,19,6,10,2
1165.json,6,-1,21,-1,0,5,19,6,12,2
1165.json,6,-1,21,-1,0,5,19,6,14,2
1165.json,6,-1,21,-1,0,5,22,6,1,2
1165.json,6,-1,21,-1,0,5,22,6,2,2
1165.json,6,-1,21,-1,0,5,22,6,3,2
1165.json,6,-1,21,-1,0,5,22,6,4,2
1165.json,6,-1,21,-1,0,5,22,6,5,2
1165.json,6,-1,21,-1,0,5,22,6,6,2
1165.json,6,-1,21,-1,0,5,22,6,10,2
1165.json,6,-1,21,-1,0,5,22,6,12,2
1165.json,6,-1,21,-1,0,5,22,6,14,2
1165.json,6,-1,21,-1,0,6,0,6,1,2
1165.json,6,-1,21,-1,0,6,0,6,2,2
1165.json,6,-1,21,-1,0,6,0,6,3,2
1165.json,6,-1,21,-1,0,6,0,6,4,2
1165.json,6,-1,21,-1,0,6,0,6,5,2
1165.json,6,-1,21,-1,0,6,0,6,6,2
1165.json,6,-1,21,-1,0,6,0,6,10,2
1165.json,6,-1,21,-1,0,6,0,6,12,2
1165.json,6,-1,21,-1,0,6,0,6,14,2
1165.json,6,-1,21,-1,0,6,3,6,1,2
1165.json,6,-1,21,-1,0,6,3,6,2,2
1165.json,6,-1,21,-1,0,6,3,6,3,2
1165.json,6,-1,21,-1,0,6,3,6,4,2
1165.json,6,-1,21,-1,0,6,3,6,5,2
1165.json,6,-1,21,-1,0,6,3,6,6,2
1165.json,6,-1,21,-1,0,6,3,6,10,2
1165.json,6,-1,21,-1,0,6,3,6,12,2
1165.json,6,-1,21,-1,0,6,3,6,14,2
1165.json,6,-1,21,-1,0,6,4,6,1,2
1165.json,6,-1,21,-1,0,6,4,6,2,2
1165.json,6,-1,21,-1,0,6,4,6,3,2
1165.json,6,-1,21,-1,0,6,4,6,4,2
1165.json,6,-1,21,-1,0,6,4,6,5,2
1165.json,6,-1,21,-1,0,6,4,6,6,2
1165.json,6,-1,21,-1,0,6,4,6,10,2
1165.json,6,-1,21,-1,0,6,4,6,12,2
1165.json,6,-1,21,-1,0,6,4,6,14,2
1165.json,6,-1,21,-1,0,6,5,6,1,2
1165.json,6,-1,21,-1,0,6,5,6,2,2
1165.json,6,-1,21,-1,0,6,5,6,3,2
1165.json,6,-1,21,-1,0,6,5,6,4,2
1165.json,6,-1,21,-1,0,6,5,6,5,2
1165.json,6,-1,21,-1,0,6,5,6,6,2
1165.json,6,-1,21,-1,0,6,5,6,10,2
1165.json,6,-1,21,-1,0,6,5,6,12,2
1165.json,6,-1,21,-1,0,6,5,6,14,2
1165.json,6,-1,21,-1,0,6,8,6,1,2
1165.json,6,-1,21,-1,0,6,8,6,2,2
1165.json,6,-1,21,-1,0,6,8,6,3,2
1165.json,6,-1,21,-1,0,6,8,6,4,2
1165.json,6,-1,21,-1,0,6,8,6,5,2
1165.json,6,-1,21,-1,0,6,8,6,6,2
1165.json,6,-1,21,-1,0,6,8,6,10,2
1165.json,6,-1,21,-1,0,6,8,6,12,2
